,gene_sgRNA,log of change,final diff,exon_id
618,CKAP5_sgRNA618,0.20846454616532253,0.00456947817797088,ENSE00003639928
619,CKAP5_sgRNA619,-0.08415025313701492,0.12809187918346293,ENSE00003639928
620,CKAP5_sgRNA620,-0.15645612808063378,0.220489461540632,ENSE00003639928
621,CKAP5_sgRNA621,0.4064702224506242,-0.04506553435871703,ENSE00001613461
622,CKAP5_sgRNA622,-0.6329610374148433,0.8621910925405316,ENSE00001613461
623,CKAP5_sgRNA623,0.1581362810197073,0.09059843174436315,ENSE00001613461
624,CKAP5_sgRNA624,-1.1379849796904198,1.2835140201917339,ENSE00001613461
625,CKAP5_sgRNA625,-0.25671984684781396,0.3826504303419931,ENSE00001613461
626,CKAP5_sgRNA626,-0.11561609428451299,0.16349262838475384,ENSE00001613461
627,CKAP5_sgRNA627,1.172225292623288,-1.0210413718841436,ENSE00001613461
628,CKAP5_sgRNA628,1.7445383057370896,-1.3890792526471198,ENSE00001613461
629,CKAP5_sgRNA629,-2.348743202781266,2.3256365552282623,ENSE00001613461
630,CKAP5_sgRNA630,-0.942599623427017,1.0941011332776724,ENSE00001613461
631,CKAP5_sgRNA631,-0.5736127569342181,0.4539311496922399,ENSE00003544248
632,CKAP5_sgRNA632,0.0,0.0,ENSE00003544248
633,CKAP5_sgRNA633,0.7447698882653608,-0.4328502717629848,ENSE00003544248
634,CKAP5_sgRNA634,5.054424311219917,-4.002472908350218,ENSE00003544248
635,CKAP5_sgRNA635,0.19391241580585397,0.07256901526255097,ENSE00003544248
636,CKAP5_sgRNA636,0.21384482577742106,0.13928455087919026,ENSE00003544248
637,CKAP5_sgRNA637,0.23615313047410935,0.1055439850648174,ENSE00003544248
638,CKAP5_sgRNA638,0.9033634973726954,-0.5582621697432751,ENSE00003544248
639,CKAP5_sgRNA639,4.237152965445425,-3.3332861760459447,ENSE00003544248
640,CKAP5_sgRNA640,-1.161246186857928,1.2298683674554969,ENSE00003544248
641,CKAP5_sgRNA641,0.43882377160547403,-0.16315599134971065,ENSE00003544248
642,CKAP5_sgRNA642,-0.03154955703525411,0.10286553144877436,ENSE00003493776
643,CKAP5_sgRNA643,0.7928005552439443,-0.35950978642733467,ENSE00003493776
644,CKAP5_sgRNA644,-0.6371913570591957,0.7617193536814155,ENSE00003493776
645,CKAP5_sgRNA645,-0.05137955110484588,0.09659899117900178,ENSE00003357124
646,CKAP5_sgRNA646,-0.05683465610888999,0.1381387493838394,ENSE00003357124
647,CKAP5_sgRNA647,0.29287390914087674,-0.04611256915818094,ENSE00003357124
648,CKAP5_sgRNA648,1.6314013463424715,-1.3182048062382057,ENSE00003647503
649,CKAP5_sgRNA649,0.08593583151429975,0.08593583151429975,ENSE00003647503
650,CKAP5_sgRNA650,-0.5287863374924227,0.6310074363697926,ENSE00003530338
651,CKAP5_sgRNA651,-0.9180306774379234,0.9819884666597495,ENSE00003530338
652,CKAP5_sgRNA652,0.5428720349696946,-0.38798730945300763,ENSE00003530338
653,CKAP5_sgRNA653,0.010059463102446802,0.11777422356972536,ENSE00003530338
654,CKAP5_sgRNA654,-0.3204354285292594,0.28332684174972067,ENSE00003530338
655,CKAP5_sgRNA655,0.18168863847384892,-0.03326379066387304,ENSE00003530338
656,CKAP5_sgRNA656,-0.362830502500798,0.3376473841905913,ENSE00003530338
657,CKAP5_sgRNA657,-0.24808636285334787,0.19680038172105327,ENSE00003530338
658,CKAP5_sgRNA658,0.23185273618810595,0.04046921436338257,ENSE00003530338
659,CKAP5_sgRNA659,4.981736879811183,-4.6856861544371435,ENSE00003530338
660,CKAP5_sgRNA660,0.22580507593442034,0.07431904691385258,ENSE00003490880
661,CKAP5_sgRNA661,0.31596353266012495,-0.0639280336314546,ENSE00003490880
662,CKAP5_sgRNA662,0.41337427849213326,-0.24942406854973728,ENSE00003490880
663,CKAP5_sgRNA663,-0.07863879791183069,0.24462891435344356,ENSE00003490880
664,CKAP5_sgRNA664,0.1933468909836256,0.016696126689852493,ENSE00003490880
665,CKAP5_sgRNA665,-0.34948055013421375,0.4832632999339653,ENSE00003490880
666,CKAP5_sgRNA666,0.6299531036465478,-0.3139151538094783,ENSE00003490880
667,CKAP5_sgRNA667,0.8659510633000371,-0.5672605121087384,ENSE00003490880
668,CKAP5_sgRNA668,-0.24060193122990595,0.20222733916177119,ENSE00003490880
669,CKAP5_sgRNA669,-0.061898499708420804,0.08798950795414824,ENSE00003490880
670,CKAP5_sgRNA670,0.3675324159692535,-0.2090223620603072,ENSE00003490880
671,CKAP5_sgRNA671,-0.8066122034217684,0.8211463306987543,ENSE00002170580
672,CKAP5_sgRNA672,0.6956650165522863,-0.5650522253658836,ENSE00002170580
673,CKAP5_sgRNA673,0.58676187777599,-0.35752927974464793,ENSE00002170580
674,CKAP5_sgRNA674,-0.003140952719691709,0.17073183497467442,ENSE00002170580
675,CKAP5_sgRNA675,0.8177582077133583,-0.603625827070947,ENSE00002170580
676,CKAP5_sgRNA676,0.3168608518873838,-0.1923861798925183,ENSE00002170580
677,CKAP5_sgRNA677,0.08740314135642668,0.05729838058861709,ENSE00002170580
678,CKAP5_sgRNA678,-0.2415626622943136,0.21716489452525956,ENSE00002170580
679,CKAP5_sgRNA679,0.6060401940171611,-0.4432314893401322,ENSE00002170580
680,CKAP5_sgRNA680,1.0427635346909347,-0.9472950871225615,ENSE00002170580
681,CKAP5_sgRNA681,0.4699877399622625,-0.2170154476042967,ENSE00002170580
